Date,Away_Team,Home_Team,Strike,Result,Is_Home_Arena,Last_Price,Volume
"Jan 28, 2026",,,Ankle,yes,no,99,13669
"Jan 28, 2026",,,Buzzer,no,no,1,39859
"Jan 28, 2026",,,Elbow,yes,no,99,7480
"Jan 28, 2026",,,Injury / Injured,yes,no,99,11974
"Jan 28, 2026",,,Jordan,yes,no,99,6265
"Jan 28, 2026",,,MVP,yes,no,99,3155
"Jan 28, 2026",,,Playoff,yes,no,99,3641
"Jan 28, 2026",,,Retire / Retired / Retirement,no,no,1,18942
"Jan 28, 2026",,,Rocket,yes,yes,99,18020
"Jan 28, 2026",,,Tech / Technical,yes,no,99,4948
"Jan 28, 2026",,,Trade / Trades / Traded,yes,no,99,109647
"Jan 28, 2026",,,Triple Double,no,no,1,15253
"Jan 27, 2026",,,Airball / Air Ball,no,no,1,4353
"Jan 27, 2026",,,All-Star,yes,no,99,5519
"Jan 27, 2026",,,Alley-oop,yes,no,99,10233
"Jan 27, 2026",,,Ankle,yes,no,99,4591
"Jan 27, 2026",,,Buzzer,yes,no,99,17062
"Jan 27, 2026",,,Elbow,yes,no,99,6662
"Jan 27, 2026",,,Injury / Injured,yes,no,99,8559
"Jan 27, 2026",,,Jordan,no,no,1,3505
"Jan 27, 2026",,,MVP,yes,no,99,4113
"Jan 27, 2026",,,Playoff,yes,no,99,6102
"Jan 27, 2026",,,Retire / Retired / Retirement,no,no,1,4818
"Jan 27, 2026",,,Tech / Technical,yes,no,99,8019
"Jan 27, 2026",,,Trade / Trades / Traded,no,no,1,7382
"Jan 27, 2026",,,Triple Double,yes,no,99,9914
"Jan 27, 2026",,,Xfinity,yes,yes,99,5327
"Jan 27, 2026",,,Airball / Air Ball,no,no,1,8945
"Jan 27, 2026",,,All-Star,yes,no,99,4429
"Jan 27, 2026",,,Alley-oop,no,no,1,12612
"Jan 27, 2026",,,Ankle,no,no,1,8500
"Jan 27, 2026",,,Buzzer,yes,no,99,9457
"Jan 27, 2026",,,Delta,yes,yes,99,12034
"Jan 27, 2026",,,Elbow,yes,no,99,12198
"Jan 27, 2026",,,Injury / Injured,no,no,1,25434
"Jan 27, 2026",,,Jordan,yes,no,99,17684
"Jan 27, 2026",,,MVP,yes,no,99,6873
"Jan 27, 2026",,,Playoff,yes,no,99,5912
"Jan 27, 2026",,,Retire / Retired / Retirement,no,no,1,7467
"Jan 27, 2026",,,Tech / Technical,no,no,1,20256
"Jan 27, 2026",,,Trade / Trades / Traded,no,no,1,8662
"Jan 27, 2026",,,Triple Double,yes,no,99,9868
"Jan 26, 2026",,,Airball / Air Ball,no,no,1,14987
"Jan 26, 2026",,,All-Star,yes,no,99,7088
"Jan 26, 2026",,,Alley-oop,yes,no,99,11809
"Jan 26, 2026",,,Ankle,no,no,1,9689
"Jan 26, 2026",,,Buzzer,yes,no,99,25201
"Jan 26, 2026",,,Elbow,yes,no,94,8538
"Jan 26, 2026",,,Injury / Injured,yes,no,99,8252
"Jan 26, 2026",,,Jordan,yes,no,99,16590
"Jan 26, 2026",,,MVP,yes,no,99,6426
"Jan 26, 2026",,,Playoff,yes,no,99,2879
"Jan 26, 2026",,,Retire / Retired / Retirement,yes,no,99,16633
"Jan 26, 2026",,,TD Garden,yes,yes,99,9373
"Jan 26, 2026",,,Tech / Technical,yes,no,99,4009
"Jan 26, 2026",,,Trade / Trades / Traded,yes,no,99,6544
"Jan 26, 2026",,,Triple Double,yes,no,99,12143
"Jan 26, 2026",,,Airball / Air Ball,no,no,1,18209
"Jan 26, 2026",,,All-Star,yes,no,99,5341
"Jan 26, 2026",,,Alley-oop,yes,no,99,30928
"Jan 26, 2026",,,Ankle,yes,no,99,10883
"Jan 26, 2026",,,Buzzer,yes,no,99,30870
"Jan 26, 2026",,,Elbow,no,no,1,15566
"Jan 26, 2026",,,Injury / Injured,yes,no,99,13745
"Jan 26, 2026",,,Jordan,yes,no,99,31275
"Jan 26, 2026",,,MVP,no,no,2,29770
"Jan 26, 2026",,,Playoff,yes,no,99,8356
"Jan 26, 2026",,,Retire / Retired / Retirement,no,no,1,13099
"Jan 26, 2026",,,Rocket,yes,yes,99,25591
"Jan 26, 2026",,,Tech / Technical,yes,no,99,6678
"Jan 26, 2026",,,Trade / Trades / Traded,yes,no,99,5435
"Jan 26, 2026",,,Triple Double,no,no,1,18328
"Jan 26, 2026",,,Airball / Air Ball,no,no,1,15070
"Jan 26, 2026",,,All-Star,yes,no,99,12545
"Jan 26, 2026",,,Alley-oop,no,no,1,31850
"Jan 26, 2026",,,Ankle,no,no,1,8747
"Jan 26, 2026",,,Buzzer,no,no,1,73540
"Jan 26, 2026",,,Elbow,yes,no,99,23915
"Jan 26, 2026",,,Injury / Injured,yes,no,99,31513
"Jan 26, 2026",,,Jordan,no,no,1,14835
"Jan 26, 2026",,,MVP,no,no,1,19013
"Jan 26, 2026",,,Playoff,yes,no,99,5533
"Jan 26, 2026",,,Retire / Retired / Retirement,no,no,1,48402
"Jan 26, 2026",,,Target,yes,yes,99,19955
"Jan 26, 2026",,,Tech / Technical,no,no,1,27671
"Jan 26, 2026",,,Trade / Trades / Traded,no,no,1,13095
"Jan 26, 2026",,,Triple Double,no,no,1,10660
"Jan 25, 2026",,,Airball / Air Ball,yes,no,80,80465
"Jan 25, 2026",,,All-Star,yes,no,99,2751
"Jan 25, 2026",,,Alley-oop,yes,no,99,5966
"Jan 25, 2026",,,Ankle,yes,no,99,7654
"Jan 25, 2026",,,Buzzer,no,no,1,19375
"Jan 25, 2026",,,Elbow,yes,no,99,3897
