Date,Away_Team,Home_Team,Strike,Result,Is_Home_Arena,Last_Price,Volume
"Jan 17, 2026",,,All-Star,yes,no,96,3403
"Jan 17, 2026",,,Alley-oop,yes,no,99,6365
"Jan 17, 2026",,,Ankle,yes,no,99,3529
"Jan 17, 2026",,,Buzzer,no,no,1,20677
"Jan 17, 2026",,,Elbow,yes,no,99,8078
"Jan 17, 2026",,,Injury / Injured,yes,no,99,3071
"Jan 17, 2026",,,Jordan,yes,no,99,10974
"Jan 17, 2026",,,MSG / Madison Square Garden,no,yes,4,11141
"Jan 17, 2026",,,MVP,yes,no,99,3948
"Jan 17, 2026",,,Playoff,yes,no,99,2315
"Jan 17, 2026",,,Retire / Retired / Retirement,yes,no,99,10222
"Jan 17, 2026",,,Tech / Technical,yes,no,99,5885
"Jan 17, 2026",,,Trade / Trades / Traded,yes,no,99,2595
"Jan 17, 2026",,,Triple Double,no,no,1,3764
"Jan 17, 2026",,,Airball / Air Ball,yes,no,98,6031
"Jan 17, 2026",,,All-Star,no,no,1,1505
"Jan 17, 2026",,,Alley-oop,no,no,1,3822
"Jan 17, 2026",,,Ankle,no,no,2,1833
"Jan 17, 2026",,,Buzzer,no,no,8,10505
"Jan 17, 2026",,,Elbow,yes,no,99,6279
"Jan 17, 2026",,,Injury / Injured,yes,no,99,5966
"Jan 17, 2026",,,Jordan,no,no,10,18640
"Jan 17, 2026",,,MVP,yes,no,99,5492
"Jan 17, 2026",,,Moda,yes,yes,99,12450
"Jan 17, 2026",,,Playoff,yes,no,99,3275
"Jan 17, 2026",,,Retire / Retired / Retirement,no,no,3,15841
"Jan 17, 2026",,,Rip City,yes,yes,98,8904
"Jan 17, 2026",,,Tech / Technical,yes,no,99,4654
"Jan 17, 2026",,,Trade / Trades / Traded,no,no,6,3536
"Jan 17, 2026",,,Triple Double,no,no,2,4146
"Jan 16, 2026",,,Airball / Air Ball,yes,no,99,15275
"Jan 16, 2026",,,All-Star,yes,no,99,6701
"Jan 16, 2026",,,Alley-oop,no,no,1,9514
"Jan 16, 2026",,,Ankle,no,no,1,10012
"Jan 16, 2026",,,Buzzer,no,no,1,26228
"Jan 16, 2026",,,Elbow,yes,no,99,7678
"Jan 16, 2026",,,Injury / Injured,yes,no,99,15958
"Jan 16, 2026",,,Jordan,yes,no,99,10689
"Jan 16, 2026",,,MVP,yes,no,99,12234
"Jan 16, 2026",,,Playoff,yes,no,99,6219
"Jan 16, 2026",,,Retire / Retirement,no,no,1,25679
"Jan 16, 2026",,,Tech / Technical,yes,no,99,8981
"Jan 16, 2026",,,Toyota,yes,yes,99,8401
"Jan 16, 2026",,,Trade / Trades / Traded,yes,no,99,12346
"Jan 16, 2026",,,Triple Double,no,no,1,6306
"Jan 16, 2026",,,Airball / Air Ball,yes,no,99,11974
"Jan 16, 2026",,,All-Star,yes,no,99,7591
"Jan 16, 2026",,,Alley-oop,no,no,2,21658
"Jan 16, 2026",,,Ankle,no,no,1,17409
"Jan 16, 2026",,,Buzzer,no,no,2,90604
"Jan 16, 2026",,,Elbow,yes,no,99,7601
"Jan 16, 2026",,,Injury / Injured,yes,no,99,16715
"Jan 16, 2026",,,Jordan,yes,no,99,36876
"Jan 16, 2026",,,MVP,yes,no,99,17294
"Jan 16, 2026",,,Playoff,yes,no,99,8338
"Jan 16, 2026",,,Retire / Retirement,no,no,1,41883
"Jan 16, 2026",,,Tech / Technical,no,no,2,51818
"Jan 16, 2026",,,Trade / Trades / Traded,yes,no,99,5606
"Jan 16, 2026",,,Triple Double,no,no,1,22749
"Jan 16, 2026",,,Xfinity,yes,yes,98,25351
"Jan 15, 2026",,,Airball / Air Ball,no,no,1,16607
"Jan 15, 2026",,,All-Star,yes,no,99,8225
"Jan 15, 2026",,,Alley-oop,no,no,1,33151
"Jan 15, 2026",,,Ankle,yes,no,99,13327
"Jan 15, 2026",,,Buzzer,yes,no,99,38133
"Jan 15, 2026",,,Elbow,yes,no,99,4761
"Jan 15, 2026",,,Injury / Injured,yes,no,99,13441
"Jan 15, 2026",,,Jordan,no,no,1,12111
"Jan 15, 2026",,,MVP,yes,no,99,7928
"Jan 15, 2026",,,Playoff,yes,no,99,5710
"Jan 15, 2026",,,Retire / Retirement,no,no,1,30521
"Jan 15, 2026",,,Tech / Technical,yes,no,99,5037
"Jan 15, 2026",,,Toyota,no,yes,1,50410
"Jan 15, 2026",,,Trade / Trades / Traded,yes,no,99,4957
"Jan 15, 2026",,,Triple Double,yes,no,99,3515
"Jan 15, 2026",,,Airball / Air Ball,no,no,1,7584
"Jan 15, 2026",,,All-Star,no,no,1,24776
"Jan 15, 2026",,,Alley-oop,no,no,1,10658
"Jan 15, 2026",,,Ankle,yes,no,99,9305
"Jan 15, 2026",,,Buzzer,no,no,1,33083
"Jan 15, 2026",,,Chase,yes,yes,99,13825
"Jan 15, 2026",,,Elbow,yes,no,99,13405
"Jan 15, 2026",,,Injury / Injured,yes,no,99,7169
"Jan 15, 2026",,,Jordan,yes,no,99,39419
"Jan 15, 2026",,,MVP,no,no,1,8136
"Jan 15, 2026",,,Playoff,no,no,1,13969
"Jan 15, 2026",,,Retire / Retirement,no,no,1,9745
"Jan 15, 2026",,,Tech / Technical,yes,no,99,8849
"Jan 15, 2026",,,Trade / Trades / Traded,yes,no,99,7828
"Jan 15, 2026",,,Triple Double,no,no,1,4039
"Jan 15, 2026",,,Airball / Air Ball,yes,no,99,5195
"Jan 15, 2026",,,All-Star,no,no,1,5898
"Jan 15, 2026",,,Alley-oop,no,no,1,7486
"Jan 15, 2026",,,Ankle,yes,no,99,6271
"Jan 15, 2026",,,Buzzer,no,no,2,26779
"Jan 15, 2026",,,Elbow,yes,no,99,5505
"Jan 15, 2026",,,Injury / Injured,yes,no,99,7000
"Jan 15, 2026",,,Jordan,no,no,1,2345
"Jan 15, 2026",,,Kia,no,yes,2,29223
"Jan 15, 2026",,,MVP,yes,no,99,4225
"Jan 15, 2026",,,Playoff,yes,no,99,2813
"Jan 15, 2026",,,Retire / Retirement,no,no,1,5913
"Jan 15, 2026",,,Tech / Technical,no,no,1,12422
"Jan 15, 2026",,,Trade / Trades / Traded,yes,no,99,4833
"Jan 15, 2026",,,Triple Double,no,no,1,4189
"Jan 14, 2026",,,Airball / Air Ball,yes,no,99,11225
"Jan 14, 2026",,,All-Star,yes,no,99,9064
"Jan 14, 2026",,,Alley-oop,no,no,1,18173
"Jan 14, 2026",,,American Airlines,no,yes,1,31349
"Jan 14, 2026",,,Ankle,yes,no,99,11595
"Jan 14, 2026",,,Buzzer,yes,no,99,26840
"Jan 14, 2026",,,Elbow,yes,no,99,14676
"Jan 14, 2026",,,Injury / Injured,yes,no,99,24848
"Jan 14, 2026",,,Jordan,yes,no,99,33680
"Jan 14, 2026",,,MVP,yes,no,99,9141
"Jan 14, 2026",,,Playoff,yes,no,99,6352
"Jan 14, 2026",,,Retire / Retirement,no,no,1,26313
"Jan 14, 2026",,,Tech / Technical,yes,no,99,15180
"Jan 14, 2026",,,Trade / Trades / Traded,yes,no,99,8102
"Jan 14, 2026",,,Triple Double,no,no,1,16105
"Jan 14, 2026",,,Airball / Air Ball,no,no,1,8093
"Jan 14, 2026",,,All-Star,yes,no,99,12673
"Jan 14, 2026",,,Alley-oop,no,no,1,15377
"Jan 14, 2026",,,Ankle,no,no,1,17447
"Jan 14, 2026",,,Buzzer,yes,no,99,22597
"Jan 14, 2026",,,Elbow,yes,no,99,10053
"Jan 14, 2026",,,Injury / Injured,yes,no,99,22902
"Jan 14, 2026",,,Jordan,no,no,1,5648
"Jan 14, 2026",,,MVP,yes,no,99,12180
"Jan 14, 2026",,,Playoff,yes,no,99,9078
"Jan 14, 2026",,,Retire / Retirement,no,no,1,23455
"Jan 14, 2026",,,Tech / Technical,no,no,1,22067
"Jan 14, 2026",,,Trade / Trades / Traded,yes,no,99,6794
"Jan 14, 2026",,,Triple Double,no,no,1,6259
"Jan 14, 2026",,,Xfinity,no,yes,1,17572
"Jan 13, 2026",,,Airball / Air Ball,no,no,1,6249
"Jan 13, 2026",,,All-Star,yes,no,99,7436
"Jan 13, 2026",,,Alley-oop,no,no,1,18562
"Jan 13, 2026",,,Ankle,yes,no,99,5132
"Jan 13, 2026",,,Buzzer,no,no,1,67928
"Jan 13, 2026",,,Elbow,yes,no,99,8546
"Jan 13, 2026",,,Injury / Injured,yes,no,99,20881
"Jan 13, 2026",,,Jordan,yes,no,99,19371
"Jan 13, 2026",,,MVP,yes,no,99,8121
"Jan 13, 2026",,,Paycom,yes,yes,99,15073
"Jan 13, 2026",,,Playoff,yes,no,99,7433
"Jan 13, 2026",,,Retire / Retirement,no,no,1,24464
"Jan 13, 2026",,,Tech / Technical,yes,no,99,8026
"Jan 13, 2026",,,Trade / Trades / Traded,no,no,1,21490
"Jan 13, 2026",,,Triple Double,yes,no,99,22655
"Jan 13, 2026",,,Airball / Air Ball,yes,no,99,18667
"Jan 13, 2026",,,All-Star,yes,no,99,10674
"Jan 13, 2026",,,Alley-oop,yes,no,98,27253
"Jan 13, 2026",,,Ankle,no,no,1,7240
"Jan 13, 2026",,,Buzzer,yes,no,99,20335
"Jan 13, 2026",,,Chase,yes,yes,99,17822
"Jan 13, 2026",,,Elbow,yes,no,99,41030
"Jan 13, 2026",,,Injury / Injured,yes,no,99,12971
"Jan 13, 2026",,,Jordan,no,no,1,3777
"Jan 13, 2026",,,MVP,no,no,1,14109
"Jan 13, 2026",,,Playoff,yes,no,99,7792
"Jan 13, 2026",,,Retire / Retirement,no,no,1,16354
"Jan 13, 2026",,,Tech / Technical,no,no,1,27322
"Jan 13, 2026",,,Trade / Trades / Traded,yes,no,99,6443
"Jan 13, 2026",,,Triple Double,yes,no,99,33688
"Jan 12, 2026",,,Airball / Air Ball,no,no,1,5921
"Jan 12, 2026",,,All-Star,yes,no,99,3587
"Jan 12, 2026",,,Alley-oop,no,no,1,16573
"Jan 12, 2026",,,Ankle,no,no,1,3728
"Jan 12, 2026",,,Buzzer,no,no,1,18343
"Jan 12, 2026",,,Elbow,yes,no,99,7517
"Jan 12, 2026",,,Gainbridge,yes,yes,99,4757
"Jan 12, 2026",,,Injury / Injured,no,no,1,28326
"Jan 12, 2026",,,Jordan,yes,no,99,17376
"Jan 12, 2026",,,MVP,no,no,1,15069
"Jan 12, 2026",,,Playoff,no,no,1,8254
"Jan 12, 2026",,,Retire / Retirement,no,no,1,11543
"Jan 12, 2026",,,Tech / Technical,no,no,2,9342
"Jan 12, 2026",,,Trade / Trades / Traded,no,no,1,5597
"Jan 12, 2026",,,Triple Double,no,no,1,4129
"Jan 10, 2026",,,Airball / Air Ball,no,no,1,3876
"Jan 10, 2026",,,All-Star,yes,no,99,3379
"Jan 10, 2026",,,Alley-oop,no,no,1,1791
"Jan 10, 2026",,,Ankle,no,no,1,1488
"Jan 10, 2026",,,Buzzer,no,no,1,16952
"Jan 10, 2026",,,Elbow,no,no,1,1093
"Jan 10, 2026",,,Injury / Injured,yes,no,99,5670
"Jan 10, 2026",,,Jordan,yes,no,99,21700
"Jan 10, 2026",,,MVP,no,no,1,3478
"Jan 10, 2026",,,Playoff,yes,no,99,4411
"Jan 10, 2026",,,Retire / Retirement,no,no,1,6987
"Jan 10, 2026",,,Rocket,no,yes,1,5320
"Jan 10, 2026",,,Tech / Technical,yes,no,99,3478
"Jan 10, 2026",,,Trade / Trades / Traded,yes,no,99,2838
"Jan 10, 2026",,,Triple Double,no,no,1,2949
"Jan 9, 2026",,,Airball / Air Ball,yes,no,99,11508
"Jan 9, 2026",,,All-Star,no,no,1,10727
"Jan 9, 2026",,,Alley-oop,no,no,1,4757
"Jan 9, 2026",,,Ankle,yes,no,99,19484
"Jan 9, 2026",,,Buzzer,no,no,3,16426
"Jan 9, 2026",,,Elbow,yes,no,99,7302
"Jan 9, 2026",,,FedExForum / FedEx,yes,yes,99,9848
"Jan 9, 2026",,,Injury / Injured,yes,no,99,19640
"Jan 9, 2026",,,Jordan,no,no,1,1280
"Jan 9, 2026",,,MVP,no,no,2,2978
"Jan 9, 2026",,,Playoff,yes,no,99,2373
"Jan 9, 2026",,,Retire / Retirement,no,no,1,9259
"Jan 9, 2026",,,Tech / Technical,no,no,4,5381
"Jan 9, 2026",,,Trade / Trades / Traded,no,no,2,6855
"Jan 9, 2026",,,Triple Double,no,no,1,4957
"Jan 9, 2026",,,Airball / Air Ball,yes,no,99,5483
"Jan 9, 2026",,,All-Star,yes,no,99,6502
"Jan 9, 2026",,,Alley-oop,yes,no,99,28781
"Jan 9, 2026",,,Ankle,yes,no,98,12534
"Jan 9, 2026",,,Buzzer,yes,no,99,9780
"Jan 9, 2026",,,Crypto / Crypto.com,yes,yes,99,7590
"Jan 9, 2026",,,Elbow,no,no,2,5538
"Jan 9, 2026",,,Injury / Injured,yes,no,99,15769
"Jan 9, 2026",,,Jordan,no,no,2,3314
"Jan 9, 2026",,,King James,no,no,2,13786
"Jan 9, 2026",,,MVP,no,no,2,13177
"Jan 9, 2026",,,Playoff,yes,no,99,4743
"Jan 9, 2026",,,Retire / Retirement,no,no,2,21005
"Jan 9, 2026",,,Tech / Technical,yes,no,98,5733
"Jan 9, 2026",,,Trade / Trades / Traded,yes,no,99,5683
"Jan 9, 2026",,,Triple Double,yes,no,99,7752
"Jan 8, 2026",,,Airball / Air Ball,no,no,2,20498
"Jan 8, 2026",,,All-Star,no,no,1,62578
"Jan 8, 2026",,,Alley-oop,no,no,2,44906
"Jan 8, 2026",,,Ankle,no,no,2,13414
"Jan 8, 2026",,,Buzzer,no,no,1,76123
"Jan 8, 2026",,,Elbow,no,no,2,18858
"Jan 8, 2026",,,Injury / Injured,no,no,1,260419
"Jan 8, 2026",,,Jordan,no,no,1,18802
"Jan 8, 2026",,,MVP,no,no,1,22200
"Jan 8, 2026",,,Playoff,no,no,1,80920
"Jan 8, 2026",,,Retire / Retirement,no,no,2,24004
"Jan 8, 2026",,,Tech / Technical,no,no,2,43215
"Jan 8, 2026",,,Trade / Trades / Traded,no,no,1,62743
"Jan 8, 2026",,,Triple Double,no,no,1,21706
"Jan 8, 2026",,,United,no,yes,2,118652
"Jan 7, 2026",,,Airball / Air Ball,no,no,1,16974
"Jan 7, 2026",,,All-Star,yes,no,99,6935
"Jan 7, 2026",,,Alley-oop,yes,no,99,8314
"Jan 7, 2026",,,Ankle,yes,no,99,7199
"Jan 7, 2026",,,Buzzer,no,no,1,17788
"Jan 7, 2026",,,Elbow,no,no,1,4227
"Jan 7, 2026",,,Frost Bank,no,yes,1,8193
"Jan 7, 2026",,,Injury / Injured,yes,no,99,27094
"Jan 7, 2026",,,Jordan,no,no,1,4870
"Jan 7, 2026",,,MVP,yes,no,99,6098
"Jan 7, 2026",,,Playoff,yes,no,99,4677
"Jan 7, 2026",,,Retire / Retirement,no,no,1,14283
"Jan 7, 2026",,,Tech / Technical,yes,no,99,7463
"Jan 7, 2026",,,Trade / Trades / Traded,yes,no,99,8093
"Jan 7, 2026",,,Triple Double,yes,no,99,4870
"Jan 7, 2026",,,Airball / Air Ball,yes,no,99,5053
"Jan 7, 2026",,,All-Star,yes,no,99,4868
"Jan 7, 2026",,,Alley-oop,yes,no,99,12988
"Jan 7, 2026",,,Ankle,yes,no,99,3538
"Jan 7, 2026",,,Buzzer,no,no,1,14964
"Jan 7, 2026",,,Elbow,yes,no,99,4023
"Jan 7, 2026",,,Injury / Injured,yes,no,99,3450
"Jan 7, 2026",,,Jordan,yes,no,99,7863
"Jan 7, 2026",,,MVP,yes,no,99,5336
"Jan 7, 2026",,,Playoff,yes,no,99,4491
"Jan 7, 2026",,,Retire / Retirement,no,no,1,7331
"Jan 7, 2026",,,TD Garden,no,yes,1,10430
"Jan 7, 2026",,,Tech / Technical,no,no,1,3724
"Jan 7, 2026",,,Trade / Trades / Traded,no,no,1,7189
"Jan 7, 2026",,,Triple Double,yes,no,99,10167
"Jan 6, 2026",,,Airball / Air Ball,no,no,1,4585
"Jan 6, 2026",,,All-Star,yes,no,99,6296
"Jan 6, 2026",,,Alley-oop,no,no,1,6487
"Jan 6, 2026",,,Ankle,yes,no,99,4384
"Jan 6, 2026",,,Buzzer,no,no,1,11046
"Jan 6, 2026",,,Elbow / Elbows / Elbowed,yes,no,99,8169
"Jan 6, 2026",,,Injury / Injured,yes,no,99,9754
"Jan 6, 2026",,,Jordan,yes,no,99,4154
"Jan 6, 2026",,,MVP,yes,no,99,8032
"Jan 6, 2026",,,Playoff,yes,no,99,2723
"Jan 6, 2026",,,Retire / Retirement,no,no,1,7754
"Jan 6, 2026",,,Target,yes,yes,99,12626
"Jan 6, 2026",,,Tech / Technical,yes,no,99,4887
"Jan 6, 2026",,,Trade / Trades / Traded,yes,no,99,3999
"Jan 6, 2026",,,Triple Double,yes,no,99,9573
"Jan 6, 2026",,,Airball / Air Ball,no,no,1,18355
"Jan 6, 2026",,,All-Star,yes,no,99,5903
"Jan 6, 2026",,,Alley-oop,no,no,1,13836
"Jan 6, 2026",,,Ankle,yes,no,99,7324
"Jan 6, 2026",,,Buzzer,no,no,1,38723
"Jan 6, 2026",,,Elbow / Elbows / Elbowed,yes,no,99,5318
"Jan 6, 2026",,,Golden,yes,yes,99,7903
"Jan 6, 2026",,,Injury / Injured,yes,no,99,8331
"Jan 6, 2026",,,Jordan,yes,no,99,11832
"Jan 6, 2026",,,MVP,no,no,1,21137
"Jan 6, 2026",,,Playoff,no,no,1,16717
"Jan 6, 2026",,,Retire / Retirement,no,no,1,10351
"Jan 6, 2026",,,Tech / Technical,yes,no,99,6473
"Jan 6, 2026",,,Trade / Trades / Traded,no,no,1,11202
"Jan 6, 2026",,,Triple Double,yes,no,99,13347
"Jan 5, 2026",,,Airball / Air Ball,no,no,1,5457
"Jan 5, 2026",,,All-Star,yes,no,99,5588
"Jan 5, 2026",,,Alley-oop,yes,no,99,5598
"Jan 5, 2026",,,Ankle,yes,no,99,10891
"Jan 5, 2026",,,Buzzer,no,no,1,13105
"Jan 5, 2026",,,Injury / Injured,yes,no,99,12115
"Jan 5, 2026",,,Little Caesars,yes,yes,99,6132
"Jan 5, 2026",,,MVP,yes,no,99,7512
"Jan 5, 2026",,,Playoff,yes,no,99,3495
"Jan 5, 2026",,,Retire / Retirement,no,no,1,9496
"Jan 5, 2026",,,Tech / Technical,no,no,1,11632
"Jan 5, 2026",,,Trade / Trades / Traded,no,no,2,10847
"Jan 5, 2026",,,Triple Double,no,no,1,5810
"Jan 5, 2026",,,Airball / Air Ball,no,no,2,17162
"Jan 5, 2026",,,All-Star,yes,no,99,4204
"Jan 5, 2026",,,Alley-oop,no,no,1,10559
"Jan 5, 2026",,,Ankle,yes,no,99,6124
"Jan 5, 2026",,,Ballmer,yes,yes,99,7864
"Jan 5, 2026",,,Buzzer,no,no,2,12403
"Jan 5, 2026",,,Injury / Injured,yes,no,99,7838
"Jan 5, 2026",,,Intuit,yes,yes,99,4699
"Jan 5, 2026",,,Jordan,yes,no,99,6982
"Jan 5, 2026",,,Laker / Lakers,yes,no,99,6077
"Jan 5, 2026",,,Long Beach,yes,no,99,3869
"Jan 5, 2026",,,MVP,yes,no,99,6305
"Jan 5, 2026",,,Marijuana / Weed / Cannabis,no,no,1,8312
"Jan 5, 2026",,,Olympic / Olympics,yes,no,99,9914
"Jan 5, 2026",,,Playoff,yes,no,99,5668
"Jan 5, 2026",,,Retire / Retirement,no,no,1,14469
"Jan 5, 2026",,,Tech / Technical,yes,no,99,2701
"Jan 5, 2026",,,The Wall,yes,no,99,6643
"Jan 5, 2026",,,Trade / Trades / Traded,yes,no,99,4724
"Jan 5, 2026",,,Triple Double,no,no,1,9204
"Jan 5, 2026",,,Airball / Air Ball,yes,no,99,12679
"Jan 5, 2026",,,All-Star,yes,no,99,4874
"Jan 5, 2026",,,Alley-oop,no,no,1,6685
"Jan 5, 2026",,,Ankle,no,no,1,5543
"Jan 5, 2026",,,Buzzer,no,no,2,10768
"Jan 5, 2026",,,Injury / Injured,yes,no,99,7340
"Jan 5, 2026",,,MVP,yes,no,99,6330
"Jan 5, 2026",,,Playoff,no,no,1,8789
"Jan 5, 2026",,,Retire / Retirement,no,no,1,10339
"Jan 5, 2026",,,Tech / Technical,yes,no,99,5145
"Jan 5, 2026",,,Trade / Trades / Traded,yes,no,99,4290
"Jan 5, 2026",,,Triple Double,no,no,1,10469
"Jan 5, 2026",,,Xfinity,yes,yes,99,7881
"Jan 3, 2026",,,Airball / Air Ball,yes,no,99,3440
"Jan 3, 2026",,,All-Star,yes,no,99,1757
"Jan 3, 2026",,,Alley-oop,yes,no,99,2772
"Jan 3, 2026",,,Ankle,yes,no,99,1486
"Jan 3, 2026",,,Buzzer,yes,no,99,6637
"Jan 3, 2026",,,Injury / Injured,yes,no,99,3641
"Jan 3, 2026",,,MSG / Madison Square Garden,yes,yes,99,1764
"Jan 3, 2026",,,MVP,yes,no,99,4366
"Jan 3, 2026",,,Playoff,yes,no,99,1673
"Jan 3, 2026",,,Retire / Retirement,no,no,2,4102
"Jan 3, 2026",,,Tech / Technical,yes,no,99,2928
"Jan 3, 2026",,,Trade / Trades / Traded,no,no,2,5583
"Jan 3, 2026",,,Triple Double,no,no,2,2526
"Jan 3, 2026",,,Airball / Air Ball,no,no,3,2012
"Jan 3, 2026",,,All-Star,yes,no,99,1757
"Jan 3, 2026",,,Alley-oop,no,no,2,3048
"Jan 3, 2026",,,Ankle,yes,no,99,3356
"Jan 3, 2026",,,Buzzer,no,no,1,3314
"Jan 3, 2026",,,Injury / Injured,yes,no,99,3696
"Jan 3, 2026",,,Kaseya,yes,yes,99,1913
"Jan 3, 2026",,,MVP,no,no,48,637
"Jan 3, 2026",,,Playoff,yes,no,99,2605
"Jan 3, 2026",,,Retire / Retirement,yes,no,99,7031
"Jan 3, 2026",,,Tech / Technical,yes,no,99,2080
"Jan 3, 2026",,,Trade / Trades / Traded,yes,no,99,2801
"Jan 3, 2026",,,Triple Double,no,no,2,1525
"Jan 3, 2026",,,Airball / Air Ball,no,no,20,1044
"Jan 3, 2026",,,All-Star,yes,no,99,2592
"Jan 3, 2026",,,Alley-oop,no,no,2,4466
"Jan 3, 2026",,,Ankle,no,no,8,2063
"Jan 3, 2026",,,Buzzer,no,no,8,522
"Jan 3, 2026",,,Injury / Injured,yes,no,99,4564
"Jan 3, 2026",,,Intuit,yes,yes,99,5369
"Jan 3, 2026",,,MVP,yes,no,98,2628
"Jan 3, 2026",,,Playoff,yes,no,98,2350
"Jan 3, 2026",,,Retire / Retirement,no,no,20,1661
"Jan 3, 2026",,,Tech / Technical,no,no,12,576
"Jan 3, 2026",,,Trade / Trades / Traded,yes,no,98,4065
"Jan 3, 2026",,,Triple Double,no,no,1,1204
"Jan 2, 2026",,,Airball / Air Ball,no,no,1,6440
"Jan 2, 2026",,,All-Star,yes,no,99,5326
"Jan 2, 2026",,,Alley-oop,no,no,1,17938
"Jan 2, 2026",,,Ankle,yes,no,99,5381
"Jan 2, 2026",,,Buzzer Beater,no,no,1,9384
"Jan 2, 2026",,,Chase,yes,yes,99,29210
"Jan 2, 2026",,,Injury / Injured,yes,no,99,16677
"Jan 2, 2026",,,MVP,yes,no,99,5156
"Jan 2, 2026",,,Playoff,yes,no,99,2098
"Jan 2, 2026",,,Retire / Retirement,no,no,1,10084
"Jan 2, 2026",,,Tech / Technical,yes,no,99,4733
"Jan 2, 2026",,,Trade / Trades / Traded,yes,no,99,3636
"Jan 2, 2026",,,Triple Double,no,no,1,7743
"Jan 2, 2026",,,Airball / Air Ball,yes,no,99,21932
"Jan 2, 2026",,,All-Star,yes,no,99,6896
"Jan 2, 2026",,,Alley-oop,no,no,1,14379
"Jan 2, 2026",,,Ankle,no,no,1,12634
"Jan 2, 2026",,,Buzzer Beater,no,no,1,15203
"Jan 2, 2026",,,Injury / Injured,yes,no,99,17018
"Jan 2, 2026",,,MVP,no,no,1,15379
"Jan 2, 2026",,,Playoff,no,no,1,14578
"Jan 2, 2026",,,Retire / Retirement,no,no,1,11253
"Jan 2, 2026",,,Rocket,no,yes,1,13779
"Jan 2, 2026",,,Tech / Technical,yes,no,99,8955
"Jan 2, 2026",,,Trade / Trades / Traded,no,no,1,14597
"Jan 2, 2026",,,Triple Double,no,no,1,6370
"Jan 1, 2026",,,Airball / Air Ball,yes,no,99,7903
"Jan 1, 2026",,,All-Star,yes,no,99,3264
"Jan 1, 2026",,,Alley-oop,yes,no,99,4596
"Jan 1, 2026",,,American Airlines,yes,yes,99,9813
"Jan 1, 2026",,,Ankle,no,no,2,2022
"Jan 1, 2026",,,Buzzer Beater,no,no,1,16398
"Jan 1, 2026",,,Injury / Injured,yes,no,99,11358
"Jan 1, 2026",,,MVP,yes,no,99,4484
"Jan 1, 2026",,,Playoff,no,no,2,5500
"Jan 1, 2026",,,Retire / Retirement,no,no,1,3634
"Jan 1, 2026",,,Tech / Technical,no,no,1,5473
"Jan 1, 2026",,,Trade / Trades / Traded,no,no,3,4228
"Jan 1, 2026",,,Triple Double,yes,no,99,4012
"Feb 1, 2026",,,Airball / Air Ball,yes,no,99,8164
"Feb 1, 2026",,,All-Star,yes,no,99,3181
"Feb 1, 2026",,,Alley-oop,no,no,1,5269
"Feb 1, 2026",,,Ankle,yes,no,99,6991
"Feb 1, 2026",,,Ball Arena,yes,yes,99,7621
"Feb 1, 2026",,,Buzzer,yes,no,99,15482
"Feb 1, 2026",,,Elbow,yes,no,99,5004
"Feb 1, 2026",,,Injury / Injured,yes,no,99,8384
"Feb 1, 2026",,,Jordan,no,no,1,7099
"Feb 1, 2026",,,MVP,yes,no,99,4367
"Feb 1, 2026",,,Playoff,yes,no,99,3855
"Feb 1, 2026",,,Retire / Retired / Retirement,no,no,1,10533
"Feb 1, 2026",,,Tech / Technical,yes,no,99,6964
"Feb 1, 2026",,,Trade / Trades / Traded,yes,no,99,5527
"Feb 1, 2026",,,Triple Double,yes,no,99,8439
"Feb 1, 2026",,,Airball / Air Ball,no,no,2,37509
"Feb 1, 2026",,,All-Star,yes,no,99,4780
"Feb 1, 2026",,,Alley-oop,no,no,3,7603
"Feb 1, 2026",,,Ankle,yes,no,99,4089
"Feb 1, 2026",,,Buzzer,no,no,1,24517
"Feb 1, 2026",,,Elbow,yes,no,99,6319
"Feb 1, 2026",,,Injury / Injured,yes,no,99,23212
"Feb 1, 2026",,,Jordan,no,no,1,8051
"Feb 1, 2026",,,MSG / Madison Square Garden,yes,yes,99,8025
"Feb 1, 2026",,,MVP,yes,no,98,5980
"Feb 1, 2026",,,Playoff,yes,no,99,6831
"Feb 1, 2026",,,Retire / Retired / Retirement,no,no,1,15417
"Feb 1, 2026",,,Tech / Technical,no,no,1,5327
"Feb 1, 2026",,,Trade / Trades / Traded,yes,no,99,5726
"Feb 1, 2026",,,Triple Double,yes,no,99,11535
"Dec 31, 2025",,,Tower / Towers,no,no,11,27
"Dec 31, 2025",,,Alien,no,no,1,2074
"Dec 31, 2025",,,Jackal,yes,no,98,1331
"Dec 30, 2025",,,Tee Morant / Dad / Father,no,no,1,2297
