Game,Strike,Result,Last Price,Volume
"Oklahoma City at Minnesota professional basketball game originally scheduled for Jan 29, 2026",Jordan,yes,99,6483
"Oklahoma City at Minnesota professional basketball game originally scheduled for Jan 29, 2026",MVP,yes,99,6218
"Oklahoma City at Minnesota professional basketball game originally scheduled for Jan 29, 2026",Playoff,yes,99,6527
"Oklahoma City at Minnesota professional basketball game originally scheduled for Jan 29, 2026",Retire / Retired / Retirement,no,1,9088
"Oklahoma City at Minnesota professional basketball game originally scheduled for Jan 29, 2026",Target,yes,99,14808
"Oklahoma City at Minnesota professional basketball game originally scheduled for Jan 29, 2026",Tech / Technical,yes,99,3838
"Oklahoma City at Minnesota professional basketball game originally scheduled for Jan 29, 2026",Trade / Trades / Traded,yes,99,9484
"Oklahoma City at Minnesota professional basketball game originally scheduled for Jan 29, 2026",Triple Double,no,1,7526
"Milwaukee at Washington professional basketball game originally scheduled for Jan 29, 2026",Airball / Air Ball,no,1,9255
"Milwaukee at Washington professional basketball game originally scheduled for Jan 29, 2026",All-Star,yes,99,6587
"Milwaukee at Washington professional basketball game originally scheduled for Jan 29, 2026",Alley-oop,no,1,10761
"Milwaukee at Washington professional basketball game originally scheduled for Jan 29, 2026",Ankle,yes,99,5602
"Milwaukee at Washington professional basketball game originally scheduled for Jan 29, 2026",Buzzer,no,1,15002
"Milwaukee at Washington professional basketball game originally scheduled for Jan 29, 2026",Capital One,yes,99,12576
"Milwaukee at Washington professional basketball game originally scheduled for Jan 29, 2026",Elbow,no,1,5263
"Milwaukee at Washington professional basketball game originally scheduled for Jan 29, 2026",Injury / Injured,yes,99,13812
"Milwaukee at Washington professional basketball game originally scheduled for Jan 29, 2026",Jordan,no,1,3509
"Milwaukee at Washington professional basketball game originally scheduled for Jan 29, 2026",MVP,no,1,5976
"Milwaukee at Washington professional basketball game originally scheduled for Jan 29, 2026",Playoff,yes,99,7680
"Milwaukee at Washington professional basketball game originally scheduled for Jan 29, 2026",Retire / Retired / Retirement,no,1,15479
